Ticker,Model,Horizon,MAE_Spread,N_Rows
NESTLE,XGBoost,5,158.95,212
NETSOL,XGBoost,5,2.79,246
OGDC,XGBoost,5,3.02,246
PAKT,XGBoost,5,28.93,221
PPL,XGBoost,5,2.34,246
PSO,XGBoost,5,3.83,246
SYS,XGBoost,5,6.96,246
TRG,XGBoost,5,1.34,246
UBL,XGBoost,5,3.42,246
UNITY,XGBoost,5,0.62,246
BAHL,LSTM,5,1.88,216
COLG,LSTM,5,12.96,216
DGKC,LSTM,5,1.7,216
EFERT,LSTM,5,2.43,216
ENGROH,LSTM,5,3.1,216
FFC,LSTM,5,3.89,216
HBL,LSTM,5,2.08,216
HUBC,LSTM,5,2.25,216
ILP,LSTM,5,1.07,216
INDU,LSTM,5,22.69,216
LUCK,LSTM,5,13.16,216
MARI,LSTM,5,31.07,216
MCB,LSTM,5,3.34,216
MEBL,LSTM,5,3.29,216
MLCF,LSTM,5,0.78,216
NESTLE,LSTM,5,93.85,182
NETSOL,LSTM,5,2.71,216
OGDC,LSTM,5,2.62,216
PAKT,LSTM,5,30.02,191
PPL,LSTM,5,2.28,216
PSO,LSTM,5,3.68,216
SYS,LSTM,5,7.12,216
TRG,LSTM,5,1.26,216
UBL,LSTM,5,3.91,216
UNITY,LSTM,5,0.47,216
BAHL,GRU,5,2.52,216
COLG,GRU,5,18.37,216
DGKC,GRU,5,2.03,216
EFERT,GRU,5,3.37,216
ENGROH,GRU,5,3.81,216
FFC,GRU,5,4.57,216
HBL,GRU,5,2.93,216
HUBC,GRU,5,3.06,216
ILP,GRU,5,1.61,216
INDU,GRU,5,28.77,216
LUCK,GRU,5,14.44,216
MARI,GRU,5,55.6,216
MCB,GRU,5,4.49,216
MEBL,GRU,5,4.16,216
MLCF,GRU,5,0.94,216
NESTLE,GRU,5,246.73,182
NETSOL,GRU,5,3.59,216
OGDC,GRU,5,3.49,216
PAKT,GRU,5,30.37,191
PPL,GRU,5,2.95,216
PSO,GRU,5,4.66,216
SYS,GRU,5,8.37,216
TRG,GRU,5,1.56,216
UBL,GRU,5,4.35,216
UNITY,GRU,5,0.59,216
BAHL,Linear Regression,10,1.68,246
COLG,Linear Regression,10,12.82,246
DGKC,Linear Regression,10,1.64,246
EFERT,Linear Regression,10,2.32,246
ENGROH,Linear Regression,10,2.83,246
FFC,Linear Regression,10,3.45,246
HBL,Linear Regression,10,1.85,246
HUBC,Linear Regression,10,1.96,246
ILP,Linear Regression,10,1.04,246
INDU,Linear Regression,10,21.25,246
LUCK,Linear Regression,10,12.45,246
MARI,Linear Regression,10,30.09,246
MCB,Linear Regression,10,3.0,246
MEBL,Linear Regression,10,2.96,246
MLCF,Linear Regression,10,0.71,246
NESTLE,Linear Regression,10,115.65,212
NETSOL,Linear Regression,10,2.72,246
OGDC,Linear Regression,10,2.87,246
PAKT,Linear Regression,10,25.78,221
PPL,Linear Regression,10,2.34,246
PSO,Linear Regression,10,3.56,246
SYS,Linear Regression,10,6.64,246
TRG,Linear Regression,10,1.3,246
UBL,Linear Regression,10,3.29,246
UNITY,Linear Regression,10,0.47,246
BAHL,Random Forest,10,1.89,246
COLG,Random Forest,10,14.03,246
DGKC,Random Forest,10,1.66,246
EFERT,Random Forest,10,2.44,246
ENGROH,Random Forest,10,3.18,246
FFC,Random Forest,10,3.61,246
HBL,Random Forest,10,1.99,246
HUBC,Random Forest,10,2.24,246
ILP,Random Forest,10,1.15,246
