Ticker,Target,Horizon,Model,Feature_1,Direction_1,Feature_2,Direction_2,Feature_3,Direction_3
SSOM,Close,1,XGBoost,Upper_Wick,down,Lower_Wick,up,Price_Range,down
TGL,Close,1,Random Forest,DayOfWeek,up,Open_Close_Range,up,Month,up
THALL,Close,1,XGBoost,Volume_Ratio,down,DayOfWeek,up,Volume,down
UNITY,Close,1,XGBoost,MACD_Hist_Pct,down,Close_to_SMA_20,down,Volume,down
UPFL,Close,1,Random Forest,Volume_SMA_20,up,DayOfWeek,up,Volume,down
ABL,Close,5,Random Forest,Close_to_SMA_200,down,Month,up,ATR_Pct,up
AKBL,Close,5,XGBoost,Close_to_SMA_200,down,Rolling_Min_20,down,ATR_Pct,up
APL,Close,5,XGBoost,Rolling_Min_20,down,Open,up,Close_to_SMA_200,down
BAHL,Close,5,XGBoost,Rolling_Min_20,down,ATR_Pct,up,Close_to_SMA_200,down
BNWM,Close,5,XGBoost,Close_to_SMA_200,down,ATR_Pct,up,Volume_SMA_20,up
BOP,Close,5,Random Forest,Return_10d,up,Close_to_SMA_200,down,Month,up
BWCL,Close,5,Random Forest,Close_to_SMA_200,down,ATR_Pct,up,Month,up
CHCC,Close,5,XGBoost,Rolling_Min_20,down,Open,up,Close_to_SMA_200,down
FCCL,Close,5,XGBoost,Volume_SMA_20,down,ATR_Pct,up,Volume_Ratio,up
GADT,Close,5,XGBoost,Rolling_Min_20,down,Return_lag_5,down,Open,up
GAL,Close,5,Random Forest,Close_to_SMA_200,up,Close_to_SMA_50,up,ATR_Pct,up
HBL,Close,5,Random Forest,Close_to_SMA_50,up,Close_to_SMA_200,down,Volatility_20,up
HINOON,Close,5,XGBoost,Rolling_Min_20,down,Open,up,Body,up
HMB,Close,5,Random Forest,Close_to_SMA_200,down,Month,up,Close_to_SMA_50,down
IBFL,Close,5,XGBoost,ATR_Pct,down,Rolling_Min_20,down,Return_lag_1,up
MLCF,Close,5,XGBoost,Volume_SMA_20,down,Rolling_Max_20,up,Close_to_SMA_200,down
MUREB,Close,5,Random Forest,Close_to_SMA_200,down,Month,up,ATR_Pct,up
NML,Close,5,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,down,Rolling_Max_20,up
PABC,Close,5,XGBoost,Close_to_SMA_200,down,Rolling_Min_20,down,ATR_Pct,up
POWER,Close,5,XGBoost,Return_10d,up,Close_to_SMA_200,up,Volume_SMA_20,down
PSX,Close,5,XGBoost,Volume_SMA_20,down,ATR_Pct,up,Volume_Ratio,up
RMPL,Close,5,Random Forest,Close_to_SMA_200,down,Month,up,ATR_Pct,up
SHFA,Close,5,XGBoost,Rolling_Min_20,down,Open,up,Close_to_SMA_200,down
TRG,Close,5,Random Forest,Close_to_SMA_200,down,Month,up,Return_10d,down
ABOT,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
AGP,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
AICL,Close,10,XGBoost,ATR_Pct,down,BB_Bandwidth,up,Rolling_Max_20,up
AKBL,Close,10,Random Forest,Close_to_SMA_200,down,Month,up,Rolling_Min_20,down
APL,Close,10,XGBoost,Rolling_Min_20,down,BB_Bandwidth,down,ATR_Pct,up
BOP,Close,10,Random Forest,Volume_SMA_20,down,Close_to_SMA_200,down,Rolling_Min_20,up
BWCL,Close,10,XGBoost,Rolling_Min_20,down,ATR_Pct,up,Close_to_SMA_200,down
CHCC,Close,10,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,down,ATR_Pct,up
COLG,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
FCCL,Close,10,Random Forest,Volume_SMA_20,down,Rolling_Min_20,up,Month,up
