Ticker,Model,Target,MAE,MAPE,Accuracy_%,FeatureSet
OGDC,Linear Regression,Target_Low,1.94,1.35,98.65,"Old (price target, raw features)"
OGDC,Random Forest,Target_Low,1.76,1.2,98.8,"New (return target, stationary features)"
OGDC,Random Forest,Target_Low,1.88,1.27,98.73,"Old (price target, raw features)"
OGDC,XGBoost,Target_Low,1.81,1.23,98.77,"New (return target, stationary features)"
OGDC,XGBoost,Target_Low,1.87,1.28,98.72,"Old (price target, raw features)"
PAKT,LSTM,Target_High,21.71,2.0,98.0,"New (return target, stationary features)"
PAKT,LSTM,Target_High,33.3,3.03,96.97,"Old (price target, raw features)"
PAKT,Linear Regression,Target_High,22.79,2.11,97.89,"New (return target, stationary features)"
PAKT,Linear Regression,Target_High,23.1,2.13,97.87,"Old (price target, raw features)"
PAKT,Random Forest,Target_High,22.64,2.1,97.9,"New (return target, stationary features)"
PAKT,Random Forest,Target_High,22.49,2.08,97.92,"Old (price target, raw features)"
PAKT,XGBoost,Target_High,22.8,2.11,97.89,"New (return target, stationary features)"
PAKT,XGBoost,Target_High,23.2,2.15,97.85,"Old (price target, raw features)"
PAKT,LSTM,Target_Low,21.37,2.11,97.89,"New (return target, stationary features)"
PAKT,LSTM,Target_Low,42.92,4.13,95.87,"Old (price target, raw features)"
PAKT,Linear Regression,Target_Low,23.47,2.31,97.69,"New (return target, stationary features)"
PAKT,Linear Regression,Target_Low,23.22,2.29,97.71,"Old (price target, raw features)"
PAKT,Random Forest,Target_Low,23.17,2.28,97.72,"New (return target, stationary features)"
PAKT,Random Forest,Target_Low,24.38,2.41,97.59,"Old (price target, raw features)"
PAKT,XGBoost,Target_Low,23.43,2.3,97.7,"New (return target, stationary features)"
PAKT,XGBoost,Target_Low,24.16,2.38,97.62,"Old (price target, raw features)"
PPL,LSTM,Target_High,1.86,1.37,98.63,"New (return target, stationary features)"
PPL,LSTM,Target_High,5.81,4.35,95.65,"Old (price target, raw features)"
PPL,Linear Regression,Target_High,1.9,1.42,98.58,"New (return target, stationary features)"
PPL,Linear Regression,Target_High,2.08,1.56,98.44,"Old (price target, raw features)"
PPL,Random Forest,Target_High,1.89,1.4,98.6,"New (return target, stationary features)"
PPL,Random Forest,Target_High,1.92,1.43,98.57,"Old (price target, raw features)"
PPL,XGBoost,Target_High,1.84,1.36,98.64,"New (return target, stationary features)"
PPL,XGBoost,Target_High,1.93,1.42,98.58,"Old (price target, raw features)"
PPL,LSTM,Target_Low,1.49,1.14,98.86,"New (return target, stationary features)"
PPL,LSTM,Target_Low,6.35,4.76,95.24,"Old (price target, raw features)"
PPL,Linear Regression,Target_Low,1.64,1.29,98.71,"New (return target, stationary features)"
PPL,Linear Regression,Target_Low,1.84,1.47,98.53,"Old (price target, raw features)"
PPL,Random Forest,Target_Low,1.63,1.27,98.73,"New (return target, stationary features)"
PPL,Random Forest,Target_Low,1.62,1.27,98.73,"Old (price target, raw features)"
PPL,XGBoost,Target_Low,1.66,1.29,98.71,"New (return target, stationary features)"
PPL,XGBoost,Target_Low,1.68,1.31,98.69,"Old (price target, raw features)"
PSO,LSTM,Target_High,3.17,1.38,98.62,"New (return target, stationary features)"
PSO,LSTM,Target_High,10.79,4.09,95.91,"Old (price target, raw features)"
PSO,Linear Regression,Target_High,2.91,1.3,98.7,"New (return target, stationary features)"
PSO,Linear Regression,Target_High,3.08,1.37,98.63,"Old (price target, raw features)"
PSO,Random Forest,Target_High,2.96,1.32,98.68,"New (return target, stationary features)"
PSO,Random Forest,Target_High,3.31,1.45,98.55,"Old (price target, raw features)"
PSO,XGBoost,Target_High,2.96,1.32,98.68,"New (return target, stationary features)"
PSO,XGBoost,Target_High,4.21,1.69,98.31,"Old (price target, raw features)"
