Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%
OGDC,Close,5,362,8.97,LSTM,9.08,-1.2202353874393035,9.43,False,-5.109925631726121
PAKT,Close,5,362,38.33,LSTM,38.33,-0.012842701984862835,38.31,True,0.0611645914610848
PPL,Close,5,362,8.72,Linear Regression,8.71,0.14960979264059132,8.86,False,-1.610459708695961
PSO,Close,5,362,13.79,Linear Regression,14.01,-1.5773543996291264,14.22,False,-3.156471231443676
SYS,Close,5,360,13.92,LSTM,14.14,-1.6392463915362734,14.7,False,-5.642545056231518
TRG,Close,5,362,3.29,Linear Regression,3.34,-1.3646398528505364,3.39,False,-2.9937684976924204
UBL,Close,5,362,21.44,Random Forest,20.66,3.6378654457517436,20.53,True,4.207939613319489
UNITY,Close,5,362,0.95,Linear Regression,1.0,-5.2550190809513735,1.0,True,-4.991743885022272
BAHL,Open,5,362,4.78,LSTM,4.81,-0.5783314627762669,4.96,False,-3.871820832189196
COLG,Open,5,362,15.96,Random Forest,16.88,-5.721807256507601,16.39,True,-2.690708569449158
DGKC,Open,5,362,8.11,Linear Regression,8.02,1.1494835064171784,7.86,True,3.0648101190869785
EFERT,Open,5,362,5.55,Linear Regression,5.46,1.6226118662614264,5.54,False,0.23093860737179797
ENGROH,Open,5,362,8.33,LSTM,8.33,-0.00347236683858196,8.44,False,-1.2823973230449257
FFC,Open,5,362,13.75,LSTM,13.17,4.229207889389709,13.44,False,2.252875340580686
HBL,Open,5,362,9.43,LSTM,9.14,3.1508838007811786,9.19,False,2.5635854397963977
HUBC,Open,5,362,5.98,LSTM,5.91,1.0693727032186147,5.95,False,0.5049189050482257
ILP,Open,5,362,2.86,LSTM,2.9,-1.4539265469260332,2.92,False,-2.163819916923185
INDU,Open,5,362,41.06,Linear Regression,42.02,-2.349045144164832,41.26,True,-0.49703080176158954
LUCK,Open,5,357,39.17,LSTM,39.01,0.39362094558202254,40.84,False,-4.275284286787475
MARI,Open,5,362,17.61,Linear Regression,17.64,-0.17424992196918268,18.48,False,-4.967803365190741
MCB,Open,5,362,8.61,Linear Regression,8.89,-3.3051733889616446,9.17,False,-6.478697509655901
MEBL,Open,5,362,12.22,Linear Regression,12.28,-0.4531911542421235,12.81,False,-4.756673897067204
MLCF,Open,5,362,4.16,LSTM,4.09,1.7072108728754507,4.15,False,0.36529784875707016
NESTLE,Open,5,362,115.02,LSTM,120.66,-4.897830578865783,123.8,False,-7.626228622780655
NETSOL,Open,5,362,4.77,Linear Regression,4.77,-0.048903020525363036,4.9,False,-2.7480377227670747
OGDC,Open,5,362,8.24,Linear Regression,8.36,-1.4158844194030367,8.66,False,-5.055980375126621
PAKT,Open,5,362,36.07,Linear Regression,36.84,-2.1464148344820266,37.83,False,-4.892288925423248
PPL,Open,5,362,8.23,Linear Regression,8.21,0.24721000558735068,8.42,False,-2.2510397739212156
PSO,Open,5,362,12.9,Linear Regression,12.92,-0.13088177905413428,13.22,False,-2.482090918986973
SYS,Open,5,360,13.26,LSTM,13.27,-0.11913023542736749,13.85,False,-4.485760082552151
TRG,Open,5,362,3.06,LSTM,3.04,0.48660207648351866,3.12,False,-2.00492022293043
UBL,Open,5,362,20.18,Linear Regression,19.65,2.6311240150380737,19.46,True,3.6028902723680223
UNITY,Open,5,362,0.86,LSTM,0.87,-1.322489167128331,0.91,False,-5.371899437933987
BAHL,Close,10,357,7.46,Linear Regression,7.62,-2.104378969383438,7.47,True,-0.16334585107206262
COLG,Close,10,357,26.7,LSTM,25.59,4.180501081191872,25.01,True,6.34246824580839
DGKC,Close,10,357,13.17,Linear Regression,12.71,3.49900878782297,12.97,False,1.5163506837108782
EFERT,Close,10,357,9.06,GRU,8.58,5.311909875385386,8.43,True,6.956063970131224
ENGROH,Close,10,357,12.11,Linear Regression,12.07,0.2985796384948689,12.66,False,-4.550260084223481
FFC,Close,10,357,20.25,LSTM,19.57,3.3373413149163644,18.82,True,7.05402334935813
HBL,Close,10,357,15.43,GRU,14.62,5.249382195139955,14.38,True,6.815671502968391
HUBC,Close,10,357,9.02,LSTM,9.03,-0.13862757809372633,8.8,True,2.5096838161271107
ILP,Close,10,357,4.35,LSTM,4.05,6.932232533330505,4.34,False,0.21838408858493083
INDU,Close,10,357,73.06,LSTM,67.35,7.816298800714533,71.15,False,2.623499607121047
LUCK,Close,10,352,63.83,LSTM,63.2,0.9854897861587539,70.12,False,-9.843596425813589
MARI,Close,10,357,25.97,LSTM,26.19,-0.8762288838583568,28.44,False,-9.529648506469647
MCB,Close,10,357,13.69,Linear Regression,13.68,0.06202964671848662,14.31,False,-4.588836434219754
MEBL,Close,10,357,18.72,Linear Regression,18.93,-1.1491615278066083,19.96,False,-6.612356495161266
MLCF,Close,10,357,6.51,Linear Regression,6.55,-0.5255509201631686,6.48,True,0.5189895779288872
NESTLE,Close,10,357,153.94,Linear Regression,177.35,-15.206859089888702,197.09,False,-28.030651255513042
NETSOL,Close,10,357,7.23,Linear Regression,7.21,0.2881404142846788,7.29,False,-0.7554427613487555
OGDC,Close,10,357,13.03,Linear Regression,13.34,-2.385985179870307,13.84,False,-6.2303829007213585
PAKT,Close,10,357,60.71,LSTM,59.42,2.1242956516548492,61.62,False,-1.4962503885512237
PPL,Close,10,357,12.49,Linear Regression,12.44,0.4141960219715229,13.29,False,-6.395238728463099
PSO,Close,10,357,20.31,Linear Regression,20.51,-0.9857952512321412,21.04,False,-3.565061621126415
SYS,Close,10,355,23.03,XGBoost,22.96,0.3309270035672769,23.58,False,-2.3565148499852118
TRG,Close,10,357,4.66,LSTM,4.7,-1.0195323702333963,4.79,False,-2.869241988168374
UBL,Close,10,357,31.41,Linear Regression,29.96,4.606865905662023,30.11,False,4.135570626864764
UNITY,Close,10,357,1.31,LSTM,1.38,-5.691476844789817,1.35,True,-3.629372233935087
BAHL,Open,10,357,6.98,Linear Regression,7.14,-2.3809570457663103,7.07,True,-1.2724397337494417
COLG,Open,10,357,25.15,XGBoost,25.07,0.3417754472706072,24.15,True,3.9862296589393345
DGKC,Open,10,357,12.69,Linear Regression,12.28,3.2535911441139933,12.4,False,2.2870744292089284
EFERT,Open,10,357,8.83,Linear Regression,8.41,4.783601537042878,8.4,True,4.888355697147134
ENGROH,Open,10,357,11.7,Linear Regression,11.72,-0.19370188519780943,12.14,False,-3.831352014366296
FFC,Open,10,357,19.75,Linear Regression,19.32,2.144805547946219,19.09,True,3.3297678041729344
HBL,Open,10,357,14.41,Linear Regression,13.71,4.853492591307601,13.47,True,6.506770765707507
HUBC,Open,10,357,8.84,LSTM,8.81,0.3931957661172034,8.71,True,1.5091344041629207
ILP,Open,10,357,4.21,LSTM,4.24,-0.5856887861081558,4.3,False,-1.9582607671455474
INDU,Open,10,357,67.46,Random Forest,66.78,1.0084537631311614,67.5,False,-0.05590468518371643
LUCK,Open,10,352,62.85,LSTM,62.01,1.3405396670967933,68.19,False,-8.496056069440288
MARI,Open,10,357,25.42,Linear Regression,25.8,-1.4997049209497886,28.0,False,-10.150214810800223
MCB,Open,10,357,13.1,Linear Regression,13.17,-0.5618870017338871,14.0,False,-6.8707066831586605
MEBL,Open,10,357,17.83,Linear Regression,18.09,-1.4669592631812485,19.29,False,-8.157730841391388
MLCF,Open,10,357,6.33,Linear Regression,6.27,0.9057161002328556,6.18,True,2.3559502782956008
